Number Of K,iteration,accuracy,train-time,test-time
33,4,89.71835765,0.015758038,1.125157833
33,5,89.71835765,0.01574707,0.99952507
33,6,89.71835765,0.015790939,0.999944925
33,7,89.71835765,0.015675068,1.000263929
33,8,89.71835765,0,0.968909025
33,9,89.71835765,0.015697002,1.031348944
35,0,89.71835765,0.015251875,1.01585412
35,1,89.71835765,0,1.046799898
35,2,89.71835765,0.015684128,0.984227896
35,3,89.71835765,0,1.093553066
35,4,89.71835765,0,0.984337091
35,5,89.71835765,0.015740871,1.062449932
35,6,89.71835765,0.015720129,0.953284979
35,7,89.71835765,0.015222073,1.062691927
35,8,89.71835765,0.015700102,1.047041893
35,9,89.71835765,0.015243053,1.062698841
37,0,89.65049203,0.015729189,1.046688795
37,1,89.65049203,0.015709162,0.99987793
37,2,89.65049203,0,1.031244993
37,3,89.65049203,0.015789986,1.077608109
37,4,89.65049203,0.015687943,1.062685013
37,5,89.65049203,0.015688896,1.030987024
37,6,89.65049203,0.015699148,1.015627861
37,7,89.65049203,0.015715122,1.078058958
37,8,89.65049203,0.015709877,1.046563148
37,9,89.65049203,0.015856981,0.999826908
39,0,89.48082796,0.015823126,0.999996901
39,1,89.48082796,0.015626907,1.062623024
39,2,89.48082796,0,1.04688096
39,3,89.48082796,0.01575017,1.062354803
39,4,89.48082796,0.015695095,1.031146049
39,5,89.48082796,0.015686035,1.031132936
39,6,89.48082796,0.015678883,1.06241703
39,7,89.48082796,0.015797138,0.984257936
39,8,89.48082796,0.015734911,1.046745062
39,9,89.48082796,0.015700102,1.062366009
41,0,89.5826264,0.015705824,1.062450171
41,1,89.5826264,0.015697002,1.20320487
41,2,89.5826264,0,1.171642065
41,3,89.5826264,0.015687943,1.031336069
41,4,89.5826264,0,1.047034979
41,5,89.5826264,0.015228033,1.078504086
41,6,89.5826264,0.015219927,1.094033957
41,7,89.5826264,0.015650988,1.077996969
41,8,89.5826264,0.015700102,1.062572956
41,9,89.5826264,0.015285969,1.062808037
43,0,89.61655921,0,1.000194788
43,1,89.61655921,0.015650034,1.062749147
43,2,89.61655921,0.015210867,1.01582098
43,3,89.61655921,0.015693188,1.046959877
43,4,89.61655921,0.01522994,1.078305006
43,5,89.61655921,0,1.046773195
43,6,89.61655921,0,1.015625954
43,7,89.61655921,0.015686989,1.031275034
43,8,89.61655921,0.015687943,1.046895027
43,9,89.61655921,0.015223026,1.078174829
45,0,89.65049203,0,1.031188011
45,1,89.65049203,0.015739202,1.031258821
45,2,89.65049203,0,1.047031164
45,3,89.65049203,0,1.124634027
45,4,89.65049203,0,0.984583855
45,5,89.65049203,0,1.031270981
45,6,89.65049203,0.015707016,0.984351158
45,7,89.65049203,0,1.000228882
45,8,89.65049203,0.015691996,1.10916996
45,9,89.65049203,0.015753031,1.109462023
47,0,89.51476077,0.01571393,1.04678297
47,1,89.51476077,0.015781164,1.06210804
47,2,89.51476077,0.015748978,1.015466928
47,3,89.51476077,0,1.140573025
47,4,89.51476077,0.015700102,1.10935092
47,5,89.51476077,0.015702009,0.984421015
47,6,89.51476077,0.015707016,1.046683073
47,7,89.51476077,0,1.109421968
47,8,89.51476077,0.015708923,1.140611172
47,9,89.51476077,0.015575886,1.062170029
49,0,89.5826264,0.015703917,1.015671015
49,1,89.5826264,0.015711069,1.015758991
49,2,89.5826264,0.01570797,1.015454054
49,3,89.5826264,0.0314641,1.140173912
49,4,89.5826264,0,1.203182936
49,5,89.5826264,0.015705109,1.000102043
