iteration,classifier,accuracy,train-time,test-time
0,gradientdescent,95.58873430607397,5.722636938095093,0.008548974990844727
0,naivebayes-GaussianNB,65.52426196131658,0.1346290111541748,0.21106815338134766
0,naivebayes-MultinomialNB,77.29894808279606,0.024657011032104492,0.0059049129486083984
0,naivebayes-ComplementNB,48.761452324397695,0.020287036895751953,0.006227970123291016
0,perceptron,94.84221241940956,1.1405301094055176,0.012832880020141602
0,logisticregression,95.75839837122497,16.56197714805603,0.0
0,gaussianmixture-GaussianMixture,1.017984390906006,43.13473892211914,0.41422009468078613
0,gaussianmixture-BayesianGaussianMixture,31.62538174414659,104.86459279060364,0.4462161064147949
0,svm-NuSVC,92.53478113335596,27.71995711326599,16.875748872756958
0,svm-LinearSVC,96.60671869697998,5.603173017501831,0.007903099060058594
0,svm-SVC,94.02782490668477,4.178452014923096,7.474998950958252
0,kneighbors,90.46487953851374,0.010142087936401367,0.9780089855194092
1,gradientdescent,95.14760773668137,5.346927165985107,0.005513906478881836
1,naivebayes-GaussianNB,65.52426196131658,0.1208498477935791,0.21578717231750488
1,naivebayes-MultinomialNB,77.29894808279606,0.026024818420410156,0.0059201717376708984
1,naivebayes-ComplementNB,48.761452324397695,0.021382808685302734,0.0055599212646484375
1,perceptron,94.84221241940956,0.8181788921356201,0.0058438777923583984
1,logisticregression,95.75839837122497,16.00850510597229,0.006470918655395508
1,gaussianmixture-GaussianMixture,0.0,27.014186143875122,0.4287099838256836
1,gaussianmixture-BayesianGaussianMixture,13.674923651170682,82.01409602165222,0.4058098793029785
1,svm-NuSVC,92.53478113335596,26.71462106704712,16.200309991836548
1,svm-LinearSVC,96.60671869697998,5.47470498085022,0.015655040740966797
1,svm-SVC,94.02782490668477,3.93115496635437,7.070862054824829
1,kneighbors,90.46487953851374,0.010596990585327148,1.0162479877471924
2,gradientdescent,95.72446555819477,5.885430097579956,0.012928962707519531
2,naivebayes-GaussianNB,65.52426196131658,0.1493840217590332,0.24141502380371094
2,naivebayes-MultinomialNB,77.29894808279606,0.02907705307006836,0.009055137634277344
2,naivebayes-ComplementNB,48.761452324397695,0.02713298797607422,0.007289886474609375
2,perceptron,94.84221241940956,0.7957830429077148,0.005876064300537109
2,logisticregression,95.75839837122497,16.10724711418152,0.015729904174804688
2,gaussianmixture-GaussianMixture,10.960298608754666,43.207026958465576,0.32523107528686523
2,gaussianmixture-BayesianGaussianMixture,23.75296912114014,92.21293115615845,0.3801000118255615
2,svm-NuSVC,92.53478113335596,25.004568099975586,16.50742793083191
2,svm-LinearSVC,96.60671869697998,5.255079984664917,0.006812095642089844
2,svm-SVC,94.02782490668477,3.696012020111084,7.147020101547241
2,kneighbors,90.46487953851374,0.009835958480834961,1.0420610904693604
3,gradientdescent,95.21547336274178,4.410933971405029,0.005754947662353516
3,naivebayes-GaussianNB,65.52426196131658,0.12140607833862305,0.19998598098754883
3,naivebayes-MultinomialNB,77.29894808279606,0.021394968032836914,0.005788087844848633
3,naivebayes-ComplementNB,48.761452324397695,0.02544379234313965,0.004813194274902344
3,perceptron,94.84221241940956,0.8328230381011963,0.004778861999511719
3,logisticregression,95.75839837122497,16.169371843338013,0.005321979522705078
3,gaussianmixture-GaussianMixture,15.982354937224297,51.47467303276062,0.3447690010070801
3,gaussianmixture-BayesianGaussianMixture,13.233797081778079,74.44700217247009,0.3622169494628906
3,svm-NuSVC,92.53478113335596,24.416831016540527,17.048683881759644
3,svm-LinearSVC,96.60671869697998,5.975069999694824,0.0059070587158203125
3,svm-SVC,94.02782490668477,4.044695854187012,7.76114296913147
3,kneighbors,90.46487953851374,0.009656906127929688,0.9735209941864014
4,gradientdescent,96.30132337970818,7.139855861663818,0.005915164947509766
4,naivebayes-GaussianNB,65.52426196131658,0.15522003173828125,0.24701905250549316
4,naivebayes-MultinomialNB,77.29894808279606,0.02367115020751953,0.006860971450805664
4,naivebayes-ComplementNB,48.761452324397695,0.02468395233154297,0.006538867950439453
4,perceptron,94.84221241940956,0.9941279888153076,0.0065648555755615234
4,logisticregression,95.75839837122497,16.382669925689697,0.007946968078613281
4,gaussianmixture-GaussianMixture,1.5948422124194097,27.676172018051147,0.3726627826690674
4,gaussianmixture-BayesianGaussianMixture,26.399728537495758,104.06186604499817,0.33176088333129883
4,svm-NuSVC,92.53478113335596,25.751093864440918,17.176058053970337
4,svm-LinearSVC,96.60671869697998,5.890175104141235,0.012605905532836914
4,svm-SVC,94.02782490668477,3.985503911972046,7.484708070755005
4,kneighbors,90.46487953851374,0.010737180709838867,1.1876349449157715
5,gradientdescent,95.45300305395318,6.020519971847534,0.005712032318115234
5,naivebayes-GaussianNB,65.52426196131658,0.15626192092895508,0.20725607872009277
5,naivebayes-MultinomialNB,77.29894808279606,0.023658037185668945,0.008521080017089844
5,naivebayes-ComplementNB,48.761452324397695,0.02832198143005371,0.008487939834594727
5,perceptron,94.84221241940956,1.033210039138794,0.006857872009277344
5,logisticregression,95.75839837122497,16.126985788345337,0.0
5,gaussianmixture-GaussianMixture,1.323379708177808,42.03260612487793,0.3748049736022949
5,gaussianmixture-BayesianGaussianMixture,32.439769256871394,102.6088879108429,0.39067602157592773
5,svm-NuSVC,92.53478113335596,23.645776987075806,16.90498995780945
5,svm-LinearSVC,96.60671869697998,5.5043370723724365,0.005865812301635742
5,svm-SVC,94.02782490668477,3.549973964691162,7.023822069168091
5,kneighbors,90.46487953851374,0.01067805290222168,1.030724048614502
6,gradientdescent,95.04580929759076,5.8056840896606445,0.005836009979248047
